production_name,genome_uuid,meta_key,desired_meta_value,dataset_type,species_id,table_location
,73dfd68f-c657-4e43-a59e-deb5afd025cd,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,71f40ccb-acb8-4b5d-8ee4-6eb883b8c013,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,74af9eb0-7ea8-4327-bc41-b5a05f861cbc,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,82b440be-8f7d-47fe-a363-a40cea709ea2,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,924303c8-ae26-4422-afb3-3c0a434dc1f2,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,2b1d44de-2103-4aca-9353-bd36903ebe25,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,398a7fb2-0f46-4ff6-981f-64eeef03a1df,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,ce82b1d8-deeb-48a1-bdec-f78d0d51308f,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,5487fea6-fbe4-49ea-8f25-1a0ddf8c9f79,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,7dfb7fea-10e5-4f2d-b326-982dbe006856,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,5d7b32b0-8ad0-4775-b958-a12dde044905,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,0de9205e-61dd-4539-a517-78f8101731ad,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,89c4d0ae-88b7-41e3-a040-6b52e05fed71,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,a382581a-1462-4e49-8fe7-bb815deef95f,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1ae204f6-1556-4bef-8e68-eebaac7252bc,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,754b92e1-ce4b-422d-8988-3c404f31fa54,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,bb6d8055-1593-435d-9d66-cf9521aa9c28,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,e0b44448-ba9a-4f7f-baae-b3b4bee21633,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,86a6a57c-a62b-4709-9ef1-05315dc445f1,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,df57a596-62f4-46b8-8488-78629c759980,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,f6b3967e-4c7f-433c-89b4-5154f92d7c2f,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,0b9cbbc3-cb2b-4bd0-819f-99aa9c228ba8,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,1b9ee4a7-4ffa-4297-99b8-64137601fd44,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,01c55a59-ab8d-4124-91a2-972777640b01,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,784f947d-6b50-4426-9410-fa0db2d11a2b,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,cb6f0e48-171e-4e11-9a16-b93e36777ddf,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,e614420e-bf12-43e6-9222-54f538c35172,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,99a36bcd-2528-446f-8a8a-3dea478804ac,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,37191160-2573-4796-b686-172a540469cd,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,f16654bb-8df6-47e7-bcaf-2b69ec68f298,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,568260cb-8cf3-41fd-85cd-31ef3c78b694,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,078f4601-00f5-4c7c-a529-863c033bb0fb,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,132dd6dc-81b7-4c23-9fa5-e403a95df271,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
,145b9603-f09d-41f4-b8dd-9660e2e7b676,genebuild.method_display,Mapping from GRCh38,genebuild,1,dataset_attribute
